title,authors,published,pdf,summary_generated
"The Sword, Shield, and Achilles' Heel: Characterizing the Linguistic Inductive Bias of Large Language Models for Spatial Reasoning in Navigation Planning","Xudong Zhang, Jian Yang, Shengkai Wang, Jiangpeng Tian, Shaowen Chen, Xian Wei, Ke Li, Xiong You",2026-05-29 15:09:25+00:00,https://arxiv.org/pdf/2605.31404v1, Large Language Model (LLM) based navigation systems often treat linguistic structures as neutral engineering decisions rather than key factors that shape LLMs' behavior . We propose a dual-interventional framework that disentangles linguistic structures from different contextual cues to evaluate the linguistic inductive bias of LLMs for navigation planning .
Target-Side Paraphrase Augmentation for Sign Language Translation with Large Language Models,"Pedro Dal Bianco, Jean Paul Nunes Reinhold, Oscar Stanchi, Facundo Quiroga, Franco Ronchetti, Ulisses Brisolara Corrêa",2026-05-29 14:58:21+00:00,https://arxiv.org/pdf/2605.31393v1," Sign language translation remains constrained by limited paired sign-video/text corpora and heavy-tailed target vocabularies . We study target-side augmentation in which GPT-4o generates controlled paraphrase variants of reference sentences while the sign input remains unchanged . On PHOENIX14T, augmentation improves BLEU-4 from 9.56 to 10.33 ."
DynaTree: Dynamic Agentic Retrieval Tree for Time-Sensitive News Retrieval,"Siyuan Qi, Xinyuan Wang, Yingxuan Yang, Haochuan Guo, Jianghao Lin, Weiwen Liu, Yong Yu, Weinan Zhang",2026-05-29 14:45:58+00:00,https://arxiv.org/pdf/2605.31377v1," Agentic Retrieval-Augmented Generation improves retrieval by integrating planning, tool use, and iterative reasoning . We propose DynaTree, a two-stage framework for efficient and adaptive news retrieval ."
"Toward Accessible Mobile Money: A Voice-Driven, Biometrically Secured USSD Automation Framework for Visually Impaired Users","Sunday Ajayi, Babatunde Eric Olatunji, Eric Umuhoza",2026-05-29 14:44:55+00:00,https://arxiv.org/pdf/2605.31375v1," Current USSD systems are not designed for non-visual interaction, forcing users to rely on third-party assistance even for PIN entry . This paper presents an Android-based intelligent middleware that automates USSD transactions, integrates biometric-secured PIN injec ."
Scaling Higher-Order Graph Learning with Maximal Clique Complexes,"Antoine Vialle, Aref Einizade, Fragkiskos D. Malliaros, Jhony H. Giraldo",2026-05-29 14:42:40+00:00,https://arxiv.org/pdf/2605.31373v1," Graph neural networks are limited to modeling pairwise interactions, while higher-order models based on cell complexes achieve greater expressivity but often suffer from poor scalability . We introduce simplified and factored cellular Weisfeiler Leman tests (sCWL and fCWL) to preserve the expressivity of the CWL test while improving computational efficiency . We further introduce the maximal clique complex, enabling scalable CWNs with reduced time and memory complexity while retaining strong empirical performance ."
HypoAgent: An Agentic Framework for Interactive Abductive Hypothesis Generation over Knowledge Graphs,"Yisen Gao, Yixi Cai, Tianshi Zheng, Jiaxin Bai, Yangqiu Song",2026-05-29 14:40:37+00:00,https://arxiv.org/pdf/2605.31370v1, Abductive reasoning over knowledge graphs aims to generate logical hypotheses that explain observed entities or facts . Existing controllable hypothesis generation methods allow users to guide this process with explicit conditions . HypoAgent integrates three agents: an Intent Recognition Agent that grounds user utterances and dialogue history into executable KG conditions .
ISAC-Enabled Grant-Free Uplink via Artificial-Path Delay Modulation,"Ruiqi Kong, He Chen",2026-05-29 14:38:11+00:00,https://arxiv.org/pdf/2605.31366v1," A grant-free user equipment conveys uplink information by modulating the delay of a controllable artificial path derived from the scheduled downlink waveform . In contrast to conventional superposition-based schemes with successive interference cancellation, the proposed method enables uplink-downlink coexistence in the delay-sensing domain ."
Learning to Adapt: Self-Improving Web Agent via Cognitive-Aware Exploration,"Weile Chen, Bingchen Miao, Qifan Yu, Wendong Bu, Guoming Wang, Wenqiao Zhang, Shengyu Zhang, Juncheng Li, Siliang Tang",2026-05-29 14:37:27+00:00,https://arxiv.org/pdf/2605.31365v1," SCALE (Self-Cognitive-Aware Learning and Exploration) leverages three adversarial roles, Selector, Predictor, and Judger to autonomously discover the agent's limitations . We propose SCALE-Hop, a graph exploration strategy that facilitates global planning and helps agents avoid local exploration traps ."
Dreaming Of Others: Latent Teammate Modeling In World Models For Multi-Agent Reinforcement Learning,Tomas Leroy-Stone,2026-05-29 14:34:50+00:00,https://arxiv.org/pdf/2605.31361v1, In cooperative multi-agent reinforcement learning (MARL) agents must coordinate with partners whose internal policies and intentions are not directly observable . We introduce an architecture that factorizes the latent state of a Dreamer-style recurrent state-space model into environment and teammate components .
dashi: A Python library for Dataset Shift Characterization to Support Trustworthy AI Development and Deployment,"David Fernández-Narro, Pablo Ferri, Ángel Sánchez-García, Juan M. García-Gómez, Carlos Sáez",2026-05-29 14:33:45+00:00,https://arxiv.org/pdf/2605.31360v1," Dataset shifts are defined as changes between train and test data distributions . They can severely degrade model performance and compromise data quality . This is particularly important in health AI, where the safety and fundamental rights of patients can be severely affected by uncontrolled shifts ."
Diagnosing Failure Modes of Shared-State Collaboration in Resource-Constrained Visual Agents,Yunpeng Zhou,2026-05-29 14:29:56+00:00,https://arxiv.org/pdf/2605.31354v1," We study failure modes of collaborative reasoning with weak learners (4B--8B models) through the lens of noise accumulation . We introduce CoSee, an auditing framework that formalizes the read-write-verify loop to trace information flow in document visual question answering ."
FBHM: Functional Benchmarking and Steering of VLMs for Hateful Meme Detection,"Paramananda Bhaskar, Naquee Rizwan, Daksh Jogchand, Saurabh Kumar Pandey, Animesh Mukherjee",2026-05-29 14:27:17+00:00,https://arxiv.org/pdf/2605.31349v1, Hateful meme detection remains a formidable challenge for vision-language models . FBHM is a benchmark of Functionality Based Hateful Memes constructed along two orthogonal axes . Models highly accurate on standard datasets catastrophically drop to near-random performance on FBHM .
Appropriateness of Empathy in AI: A Signal-Cost Perspective,"Chi-Ching Juan, Tao Wang, Harold Lee",2026-05-29 14:19:01+00:00,https://arxiv.org/pdf/2605.31340v1," Signal Cost Proxies (emotional richness, perspective-taking, and contextual tailoring) mapped to affective, cognitive, and associative empathy . This multidimensional framework enables systematic evaluation of empathy not just by presence but by its appropriateness relative to user demand ."
Social welfare optimisation under institutional reward and punishment,"Van An Nguyen, Vuong Khang Huynh, Huu Loi Bui, Hai Anh Ha, Quang Dung Le, Tan Dat Nguyen, Ngoc Ngu Nguyen, Zhao Song, Manh Hong Duong, Le Hong Trang, The Anh Han",2026-05-29 14:04:55+00:00,https://arxiv.org/pdf/2605.31330v1," Institutional incentives are widely used to promote cooperation among autonomous, self-regarding agents, from human societies to multi-agent and AI systems . We develop a welfare-centric framework for institutional incentives in finite, well-mixed populations playing a social dilemma . We derive explicit expressions for expected social welfare for each mechanism ."
Inconsistency-Aware Minimization: Improving Generalization with Unlabeled Data,"Hee-Sung Kim, Hyeonseong Kim, Sungyoon Lee",2026-05-29 13:56:17+00:00,https://arxiv.org/pdf/2605.31324v1, A key feature of local inconsistency is that it can be computed without explicit labels . Leveraging unlabeled data for these purposes offers significant advantages in real-world scenarios .
TraceGraph: Shared Decision Landscapes for Diagnosing and Improving Agent Trajectories,"Junjie Nian, Kang Chen, Ge Zhang, Yixin Cao, Yugang Jiang",2026-05-29 13:40:31+00:00,https://arxiv.org/pdf/2605.31308v1," TraceGraph turns multi-model agent trajectories into shared decision landscapes . For each task, TraceGraph builds a graph over observable action-observation states from pooled rollouts . It overlays outcome-informed productive cores and trap regions, and summarizes each rollout with three events: Access, Trap exposure, and Repair ."
Memristor-Based Spiking Neural Network Accelerator for Bio-inspired Interception Task,"Qianhou Qu, Sheng Lu, Liuting Shang, Jaihan Utailawon, Sungyong Jung, Qilian Liang, Chenyun Pan",2026-05-29 13:34:07+00:00,https://arxiv.org/pdf/2605.31299v1, Spiking neural networks (SNNs) provide event-driven and low-power computation inspired by biological neural systems . Current implementations rely on von Neumann graphics processing units (GPUs) and central processing units . Memory and computation bottlenecks limit energy efficiency .
Latent Space Disentanglement via Activation Steering for Interpretable Attribute Control in Symbolic Music Generation,"Ioannis Prokopiou, Pantelis Vikatos, Maximos Kaliakatsos-Papakostas, Theodoros Giannakopoulos, Themos Stafylakis",2026-05-29 13:31:56+00:00,https://arxiv.org/pdf/2605.31295v1, This paper investigates the mechanistic interpretability of the Multitrack Music Transformer . It proposes a framework for deterministic attribute modulation without retraining to bridge this gap via inference-time activation steering .
The Terminal Representation in Reinforcement Learning,"Amir Esterhuysen, Anders Jonsson",2026-05-29 13:24:28+00:00,https://arxiv.org/pdf/2605.31289v1, Representation learning is a powerful tool for spatio-temporal abstraction within reinforcement learning . Eigenvectors of both representations have been used to support a range of downstream tasks . We introduce a structurally distinct formulation: the terminal representation (TR)
Neither Replacement nor Panacea: Comparing LLM-Based Conversational and Graphical Decision Support in Industrial Tasks,"Roberto Figliè, Simone Caputo, Alan Serrano, Daria Mikhaylova, Tommaso Turchi, Daniele Mazzei",2026-05-29 13:22:58+00:00,https://arxiv.org/pdf/2605.31287v1, Large Language Model (LLM)-based conversational agents (CAs) accessed through conversational user interfaces (CUIs) may provide more direct access to such data . This study compares an LLM-based CA delivered through a CUI with a dashboard in a manufacturing decision-support scenario .
DeMaVLA: A Vision-Language-Action Foundation Model for Generalizable Deformable Manipulation,"Taiyi Su, Jian Zhu, Tianjian Wang, Youzhang He, Zitai Huang, Jianjun Zhang, Chong Ma, Hanyang Wang, Tianjiao Zhang, Munan Yin, Weihao Ding, Yi Xu",2026-05-29 13:20:08+00:00,https://arxiv.org/pdf/2605.31286v1, DeMaVLA is a VLA foundation model for generalizable Deformable Manipulation . It adopts a VLM backbone with an action expert and formulates continuouctions .
SAM for Robust Mitochondria Instance Segmentation in Fluorescence Microscopy,"Suyog Jadhav, Dilip K. Prasad, Krishna Agarwal",2026-05-29 13:19:02+00:00,https://arxiv.org/pdf/2605.31284v1," The morphological analysis of mitochondria in fluorescence microscopy is crucial for understanding cellular health, energy production, and metabolic regulation . The development of robust models is bottlenecked by a lack of high-quality, manually annotated instance segmentation datasets for mitochondria . We propose a scalable solution to this data scarcity by finetuning SAM exclusively on synthetically generated FM data ."
Wind Turbine Maintenance Log Labelling Framework: LLM-Driven Data Correction and Enrichment via Semantic Extraction of Reliability Intelligence,"Max Malyi, Jonathan Shek, Alasdair McDonald, Andre Biscaya",2026-05-29 13:13:03+00:00,https://arxiv.org/pdf/2605.31281v1," Failure event descriptions within historical maintenance logs are a source of valuable reliability intelligence . They typically appear as unstructured natural language entries, rendering them inaccessible for quantitative analysis . This paper presents a novel methodology leveraging a large language model (LLM) to systematically standardise and structure maintenance logs based on their free-text descriptors ."
Practical Cross-Band Channel Prediction for AI-RAN via Physics-Guided Deep Unfolding,"Ruiqi Kong, He Chen, Xiaojun Lin",2026-05-29 13:10:58+00:00,https://arxiv.org/pdf/2605.31279v1," GUIDE is a physics-guided deep unfolding framework that embeds wireless channel physics into differentiable layers . Without retraining in unseen environments, GUIDE achieves 2.75x beamforming gain than the deep learning-based baseline FIRE with only a slight increase in inference time ."
Industrializing Prediction-Powered Inference: The GLIDE Library for Reliable GenAI and Agentic Systems Evaluation,"Grégoire Martinon, Ibrahim Merad, Mohammed Raki",2026-05-29 13:10:35+00:00,https://arxiv.org/pdf/2605.31278v1," GLIDE is an open-source Python library that unifies state-of-the-art PPI estimators and samplers . GLIDE ships with a reproducible Monte Carlo validation suite, an empirically grounded decision tree for metho ."
Learning Parametric Nitrogen Fertilizer Response Curves Using Neuro Symbolic Regression,"Giorgio Morales, John Sheppard",2026-05-29 13:08:46+00:00,https://arxiv.org/pdf/2605.31276v1," Accurately modeling crop response to Nitrogen (N) fertilization is a fundamental challenge in precision agriculture . Existing approaches either rely on predefined parametric forms or opaque machine learning models, limiting their ability to interpret or discover site-specific functional relationships from data ."
Personalized to Persuade: The Effects of Contextualization and Warmth on Trust and Reliance in Conversational AI,"Mert Yazan, Suzan Verberne, Frederik Bungaran Ishak Situmeang",2026-05-29 13:07:03+00:00,https://arxiv.org/pdf/2605.31275v1," AI agents personalize their responses by tailoring explanations to users' backgrounds, interests, and prior interactions . Personalization has been identified as a persuasive strategy in politics or in marketing . But the persuasive effect of contextualization in everyday tasks, where users often lack prior knowledge, remains unclear ."
Envisioning Beyond the Few: Disentangled Semantics and Primitives for Few-Shot Atypical Layout-to-Image Generation,"Nan Bao, Yifan Zhao, Wenzhuang Wang, Jia Li",2026-05-29 13:00:00+00:00,https://arxiv.org/pdf/2605.31266v1, Semantic Anchoring aggregates categorical semantics into anchors for stable identity . Primitive Imbuing models recomposable primitives for robust local detail modeling . Conceptual Steering further regulates optimization with a saliency-aware objective .
COLLEAGUE.SKILL: Automated AI Skill Generation via Expert Knowledge Distillation,"Tianyi Zhou, Dongrui Liu, Leitao Yuan, Jing Shao, Xia Hu",2026-05-29 12:59:08+00:00,https://arxiv.org/pdf/2605.31264v1," LLM agents are increasingly expected not only to complete isolated tasks, but also to carry bounded representations of human expertise, judgment, and interaction style . Building such person-grounded agents remains difficult because actionable knowledge associated with a person or role is usually embedded in heterogeneous traces rather than written as clean instructions . We present an automated trace-to-skill distillation system ."
